file_name,formula,atom_num,formation_energy,B_element,X_element,sites,perovskite_judge
ICSD-254299.cif,Ba2 Mg2 O12 F4 Be4 B4,28,-2.938787280892857,['Mg'],['O'],"[2, 3]",perovskite
ICSD-420297.cif,Sr2 As4 O12,18,-1.7828323461111109,['As'],['O'],"[2, 3, 4, 5]",perovskite
ICSD-254992.cif,Ba3 Mg3 O18 C6,30,-2.1627509068333333,['Mg'],['O'],"[3, 4, 5]",perovskite
ICSD-633498.cif,Se16 Ti8 Fe4,28,-1.0719677925000002,"['Ti', 'Fe']",['Se'],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",perovskite
ICSD-608317.cif,La6 Ni2 Al2 S14,24,-1.7666475356250004,['Ni'],['S'],"[8, 9]",perovskite
ICSD-257025.cif,Li4 Cu4 Bi4 O16,28,-1.0102077433333332,['Bi'],['O'],"[8, 9, 10, 11]",perovskite
ICSD-617074.cif,Se9 Bi12,21,-0.2713596238095238,['Bi'],['Se'],"[6, 7, 8, 9, 10, 11, 18, 19, 20]",perovskite
ICSD-252880.cif,Li Cr Te2,4,-0.1895442729166668,"['Li', 'Cr']",['Te'],"[0, 1]",perovskite
ICSD-639178.cif,Ta3 S6 Hg3,12,-0.9227171708333336,['Ta'],['S'],"[0, 1, 2]",perovskite
ICSD-255100.cif,Sc6 K10 F28,44,-3.5068520046590907,['Sc'],['F'],"[10, 11, 12, 13, 14, 15]",perovskite
ICSD-413384.cif,Sr12 Si4 O4,20,-1.32819365,['O'],['Sr'],"[16, 17, 18, 19]",anti-perovskite
ICSD-419506.cif,V6 K10 F28,44,-2.920745296931818,['V'],['F'],"[10, 11, 12, 13, 14, 15]",perovskite
ICSD-414043.cif,Ru2 Br6,8,-0.4730400225000002,['Ru'],['Br'],"[0, 1]",perovskite
ICSD-267980.cif,Bi8 Rb8 Se20 Zn4,40,-0.7835098100833335,['Bi'],['Se'],"[12, 13, 14, 15]",perovskite
ICSD-259387.cif,Ba8 Zn4 Os4 O24,40,-1.8642073557500003,"['Zn', 'Os']",['O'],"[8, 9, 10, 11, 12, 13, 14, 15]",perovskite
ICSD-650457.cif,Rh4 Te8,12,-0.4738140969444438,['Rh'],['Te'],"[8, 9, 10, 11]",perovskite
ICSD-620205.cif,Cd4 O4,8,-1.0261678300000003,['Cd'],['O'],"[0, 1, 2, 3, 4, 5, 6, 7]",perovskite
