feature,stage,complexity,formula,parents,template_rule,required_manuscript_template,protected_anchor,family,unit_group,parent_families,parent_unit_groups,parent_scopes
PymatgenData maximum atomic_mass _X,raw,0,PymatgenData maximum atomic_mass _X,,source_feature,False,False,other,dimensionless,,,
PymatgenData maximum atomic_mass formula,raw,0,PymatgenData maximum atomic_mass formula,,source_feature,False,False,other,dimensionless,,,
PymatgenData maximum atomic_radius _B,raw,0,PymatgenData maximum atomic_radius _B,,source_feature,False,False,other,dimensionless,,,
PymatgenData maximum atomic_radius _X,raw,0,PymatgenData maximum atomic_radius _X,,source_feature,False,False,other,dimensionless,,,
PymatgenData maximum atomic_radius formula,raw,0,PymatgenData maximum atomic_radius formula,,source_feature,False,False,other,dimensionless,,,
PymatgenData maximum block _B,raw,0,PymatgenData maximum block _B,,source_feature,False,False,other,dimensionless,,,
PymatgenData maximum block _X,raw,0,PymatgenData maximum block _X,,source_feature,False,False,other,dimensionless,,,
PymatgenData maximum block formula,raw,0,PymatgenData maximum block formula,,source_feature,False,False,other,dimensionless,,,
PymatgenData maximum group _B,raw,0,PymatgenData maximum group _B,,source_feature,False,False,other,dimensionless,,,
PymatgenData maximum group _X,raw,0,PymatgenData maximum group _X,,source_feature,False,False,other,dimensionless,,,
PymatgenData maximum group formula,raw,0,PymatgenData maximum group formula,,source_feature,False,False,other,dimensionless,,,
PymatgenData maximum melting_point _B,raw,0,PymatgenData maximum melting_point _B,,source_feature,False,False,other,dimensionless,,,
PymatgenData maximum melting_point _X,raw,0,PymatgenData maximum melting_point _X,,source_feature,False,False,other,dimensionless,,,
PymatgenData maximum melting_point formula,raw,0,PymatgenData maximum melting_point formula,,source_feature,False,False,other,dimensionless,,,
PymatgenData maximum mendeleev_no _B,raw,0,PymatgenData maximum mendeleev_no _B,,source_feature,False,False,other,dimensionless,,,
PymatgenData maximum mendeleev_no _X,raw,0,PymatgenData maximum mendeleev_no _X,,source_feature,False,False,other,dimensionless,,,
PymatgenData maximum mendeleev_no formula,raw,0,PymatgenData maximum mendeleev_no formula,,source_feature,False,False,other,dimensionless,,,
PymatgenData maximum row _B,raw,0,PymatgenData maximum row _B,,source_feature,False,False,other,dimensionless,,,
PymatgenData maximum row _X,raw,0,PymatgenData maximum row _X,,source_feature,False,False,other,dimensionless,,,
PymatgenData maximum row formula,raw,0,PymatgenData maximum row formula,,source_feature,False,False,other,dimensionless,,,
PymatgenData maximum thermal_conductivity _B,raw,0,PymatgenData maximum thermal_conductivity _B,,source_feature,False,False,other,dimensionless,,,
PymatgenData maximum thermal_conductivity _X,raw,0,PymatgenData maximum thermal_conductivity _X,,source_feature,False,False,other,dimensionless,,,
PymatgenData maximum thermal_conductivity formula,raw,0,PymatgenData maximum thermal_conductivity formula,,source_feature,False,False,other,dimensionless,,,
PymatgenData mean X _B,raw,0,PymatgenData mean X _B,,source_feature,False,False,other,dimensionless,,,
PymatgenData mean X _X,raw,0,PymatgenData mean X _X,,source_feature,False,False,other,dimensionless,,,
PymatgenData mean X formula,raw,0,PymatgenData mean X formula,,source_feature,False,False,other,dimensionless,,,
PymatgenData mean atomic_mass _B,raw,0,PymatgenData mean atomic_mass _B,,source_feature,False,False,other,dimensionless,,,
PymatgenData mean atomic_mass _X,raw,0,PymatgenData mean atomic_mass _X,,source_feature,False,False,other,dimensionless,,,
PymatgenData mean atomic_mass formula,raw,0,PymatgenData mean atomic_mass formula,,source_feature,False,False,other,dimensionless,,,
PymatgenData mean atomic_radius _B,raw,0,PymatgenData mean atomic_radius _B,,source_feature,False,False,other,dimensionless,,,
PymatgenData mean atomic_radius _X,raw,0,PymatgenData mean atomic_radius _X,,source_feature,False,False,other,dimensionless,,,
PymatgenData mean atomic_radius formula,raw,0,PymatgenData mean atomic_radius formula,,source_feature,False,False,other,dimensionless,,,
PymatgenData mean block _B,raw,0,PymatgenData mean block _B,,source_feature,False,False,other,dimensionless,,,
PymatgenData mean block _X,raw,0,PymatgenData mean block _X,,source_feature,False,False,other,dimensionless,,,
PymatgenData mean block formula,raw,0,PymatgenData mean block formula,,source_feature,False,False,other,dimensionless,,,
PymatgenData mean group _B,raw,0,PymatgenData mean group _B,,source_feature,False,False,other,dimensionless,,,
PymatgenData mean group _X,raw,0,PymatgenData mean group _X,,source_feature,False,False,other,dimensionless,,,
PymatgenData mean group formula,raw,0,PymatgenData mean group formula,,source_feature,False,False,other,dimensionless,,,
PymatgenData mean melting_point _B,raw,0,PymatgenData mean melting_point _B,,source_feature,False,False,other,dimensionless,,,
PymatgenData mean melting_point _X,raw,0,PymatgenData mean melting_point _X,,source_feature,False,False,other,dimensionless,,,
PymatgenData mean melting_point formula,raw,0,PymatgenData mean melting_point formula,,source_feature,False,False,other,dimensionless,,,
PymatgenData mean mendeleev_no _B,raw,0,PymatgenData mean mendeleev_no _B,,source_feature,False,False,other,dimensionless,,,
PymatgenData mean mendeleev_no _X,raw,0,PymatgenData mean mendeleev_no _X,,source_feature,False,False,other,dimensionless,,,
PymatgenData mean mendeleev_no formula,raw,0,PymatgenData mean mendeleev_no formula,,source_feature,False,False,other,dimensionless,,,
PymatgenData mean row _B,raw,0,PymatgenData mean row _B,,source_feature,False,False,other,dimensionless,,,
PymatgenData mean row _X,raw,0,PymatgenData mean row _X,,source_feature,False,False,other,dimensionless,,,
PymatgenData mean row formula,raw,0,PymatgenData mean row formula,,source_feature,False,False,other,dimensionless,,,
PymatgenData mean thermal_conductivity _B,raw,0,PymatgenData mean thermal_conductivity _B,,source_feature,False,False,other,dimensionless,,,
PymatgenData mean thermal_conductivity _X,raw,0,PymatgenData mean thermal_conductivity _X,,source_feature,False,False,other,dimensionless,,,
PymatgenData mean thermal_conductivity formula,raw,0,PymatgenData mean thermal_conductivity formula,,source_feature,False,False,other,dimensionless,,,
PymatgenData minimum X _B,raw,0,PymatgenData minimum X _B,,source_feature,False,False,other,dimensionless,,,
PymatgenData minimum X _X,raw,0,PymatgenData minimum X _X,,source_feature,False,False,other,dimensionless,,,
PymatgenData minimum X formula,raw,0,PymatgenData minimum X formula,,source_feature,False,False,other,dimensionless,,,
PymatgenData minimum atomic_mass _B,raw,0,PymatgenData minimum atomic_mass _B,,source_feature,False,False,other,dimensionless,,,
PymatgenData minimum atomic_mass _X,raw,0,PymatgenData minimum atomic_mass _X,,source_feature,False,False,other,dimensionless,,,
