file_name,formula,formation_energy
ICSD-260895.cif,Fe4 P6 O24 B2,-2.059707991488096
ICSD-417942.cif,Tl10 Nb4 Cl18 S8,-1.0995755928125
ICSD-616240.cif,Y6 Cr2 Be2 S14,-1.6951133812500003
ICSD-634664.cif,Mn2 Ga2 S5,-0.7365203472701146
ICSD-600730.cif,Pb4 Se4,-0.5707689683333332
ICSD-418454.cif,O24 S6 Mg4 Ca2,-2.104251011666668
ICSD-417954.cif,Tl3 As3 F18,-2.1458299284375
ICSD-290876.cif,Pb Zr O3,-2.518671235500001
ICSD-432740.cif,Sb8 Zn6 F12 O12,-1.8123443672368424
ICSD-263128.cif,Ti4 Ge4 S12,-1.0631979513333327
ICSD-261343.cif,Li4 Zn4 F4 S4 O16,-1.8516062827604167
ICSD-759759.cif,Mn2 O4,-1.5675238279885058
ICSD-261454.cif,Ba4 Y2 Ta2 O12,-3.213511152000001
ICSD-262051.cif,Ba6 N3 Cl3,-1.3009643021875004
ICSD-432224.cif,Bi9 Te3 I3,-0.2068219180833334
ICSD-608322.cif,La6 Ti2 Al2 S14,-1.9411908532638888
ICSD-616274.cif,La6 Ga2 Be2 S14,-1.7221412032291663
ICSD-260008.cif,Te8 Sc8 F8 O24,-2.446757153611112
ICSD-616878.cif,Ni4 Bi4 Se4,-0.3313086972222224
ICSD-429695.cif,Ca8 Sn4 S16,-1.5535240719642849
ICSD-414591.cif,La16 N8 Te12,-1.5389105488888883
ICSD-429640.cif,Ba3 Ta Fe3 Si2 O14,-2.4695914208695653
ICSD-432131.cif,Li4 Co4 P4 O16,-2.10610096579932
ICSD-615918.cif,Ba4 Hf4 S12,-2.0397804535
ICSD-426852.cif,Ni2 Sb4 O12,-1.2343687788888889
ICSD-427045.cif,Sb8 Co6 F12 O12,-1.829826662236842
ICSD-619332.cif,Ca8 Ge4 S16,-1.5575265150000004
ICSD-639886.cif,In4 Li4 O8,-1.7371489064583332
ICSD-651629.cif,Sb6 Te9,-0.1301001939999996
ICSD-262708.cif,Cd2 Ti2 O6,-2.295217600333332
ICSD-626703.cif,Cr8 Se12,-0.3151400195000001
ICSD-262716.cif,Na2 Ba Mg P2 O8,-2.586471818180272
ICSD-260945.cif,As2 Cs10 P8 Se24,-0.646087724161255
ICSD-417372.cif,Au Cs Cl3,-0.9835347832500002
ICSD-418009.cif,Br2 La2 P,-1.8047218539523808
ICSD-260163.cif,Tc8 Br32,-0.28961268475
ICSD-280755.cif,Si2 F12 N4 H16,-1.6205883822058826
ICSD-421546.cif,Sb2 Zn8 K2 O14,-1.5095402861538458
ICSD-252433.cif,Li6 Os6 O18,-1.3542673466666666
ICSD-255631.cif,Rh2 Cl12 Na6,-1.4147353182499998
ICSD-626392.cif,Cr2 Nb6 S12,-1.2774126229999994
ICSD-651241.cif,Tl6 S6,-0.3260979299999995
ICSD-632443.cif,S2 Fe Li2,-1.2410845343333332
